as_of,ic,n
2025-08-01,-0.0843,74
2025-08-08,-0.1420,77
2025-08-15,0.2075,83
2025-08-22,0.0419,85
2025-08-29,-0.0566,84
2025-09-05,0.0051,85
2025-09-12,0.1208,85
2025-09-19,0.0226,85
2025-09-26,0.0494,84
2025-10-03,0.2173,85
2025-10-10,0.0003,85
2025-10-17,0.2343,85
2025-10-24,0.0623,85
2025-10-31,-0.1414,81
2025-11-07,-0.0447,75
2025-11-14,-0.2921,78
2025-11-21,-0.1780,81
2025-11-28,-0.1698,82
2025-12-05,-0.0661,82
2025-12-12,-0.1521,83
2025-12-19,0.0228,84
2025-12-26,-0.0192,85
2026-01-02,0.1856,82
2026-01-09,0.0109,82
2026-01-16,0.0781,83
2026-01-23,0.1942,83
2026-01-30,0.0164,82
2026-02-06,0.0341,82
2026-02-13,0.0663,82
2026-02-20,0.0212,81
2026-02-27,-0.0555,82
2026-03-06,-0.3626,81
2026-03-13,-0.2381,82
2026-03-20,-0.0483,82
2026-03-27,0.0257,82
2026-04-03,0.0300,84
2026-04-10,0.0582,84
2026-04-17,0.0030,84
2026-04-24,0.1650,81
